,27600,39000,50232,65450,228000
naive,0.000616,0.000591,0.000753,0.000701,0.000792
1D,0.000674,0.000866,0.000997,0.000872,0.001211
2D,0.000733,0.000841,0.001397,0.000901,0.000876
,,,,,
naive,0.001154,0.001234,0.001262,0.001159,0.001709
1D,0.001278,0.001004,0.002272,0.001211,0.001288
2D,0.001301,0.001298,0.001243,0.001197,0.001794
